  File "/root/client/server/socket_clients/websocket_manager.py", line 66, in wrapped_f
    f(ws, *args, **kwargs)
  File "/root/client/server/socket_clients/xrpl_socket.py", line 82, in _on_message
    if not self.GLOBALS.starting_ledger_index:
AttributeError: 'Globals' object has no attribute 'starting_ledger_index'
XRPL_MAIN | websocket_manager.py | 68 | 2021-02-14 21:24:00,069 | ERROR | 'Globals' object has no attribute 'starting_ledger_index'
Traceback (most recent call last):
  File "/root/client/server/socket_clients/websocket_manager.py", line 66, in wrapped_f
    f(ws, *args, **kwargs)
  File "/root/client/server/socket_clients/xrpl_socket.py", line 82, in _on_message
    if not self.GLOBALS.starting_ledger_index:
AttributeError: 'Globals' object has no attribute 'starting_ledger_index'
XRPL_MAIN | websocket_manager.py | 68 | 2021-02-14 21:24:04,075 | ERROR | 'Globals' object has no attribute 'starting_ledger_index'
Traceback (most recent call last):
  File "/root/client/server/socket_clients/websocket_manager.py", line 66, in wrapped_f
    f(ws, *args, **kwargs)
  File "/root/client/server/socket_clients/xrpl_socket.py", line 82, in _on_message
    if not self.GLOBALS.starting_ledger_index:
AttributeError: 'Globals' object has no attribute 'starting_ledger_index'
XRPL_MAIN | websocket_manager.py | 68 | 2021-02-14 21:24:07,721 | ERROR | 'Globals' object has no attribute 'starting_ledger_index'
Traceback (most recent call last):
  File "/root/client/server/socket_clients/websocket_manager.py", line 66, in wrapped_f
    f(ws, *args, **kwargs)
  File "/root/client/server/socket_clients/xrpl_socket.py", line 82, in _on_message
    if not self.GLOBALS.starting_ledger_index:
AttributeError: 'Globals' object has no attribute 'starting_ledger_index'
XRPL_MAIN | websocket_manager.py | 68 | 2021-02-14 21:24:11,779 | ERROR | 'Globals' object has no attribute 'starting_ledger_index'
Traceback (most recent call last):
  File "/root/client/server/socket_clients/websocket_manager.py", line 66, in wrapped_f
    f(ws, *args, **kwargs)
  File "/root/client/server/socket_clients/xrpl_socket.py", line 82, in _on_message
    if not self.GLOBALS.starting_ledger_index:
AttributeError: 'Globals' object has no attribute 'starting_ledger_index'
MainThread | __main__.py | 76 | 2021-02-14 21:27:07,934 | INFO | CLIENT_ENV: development
MAIN | __main__.py | 52 | 2021-02-14 21:27:07,934 | INFO | 
Connecting XRPL Sockets
MAIN | xrpl_socket.py | 37 | 2021-02-14 21:27:07,934 | INFO | Data Resetted
MAIN | websocket_manager.py | 41 | 2021-02-14 21:27:07,934 | INFO | Connecting...
MainThread | _internal.py | 113 | 2021-02-14 21:27:07,952 | INFO |  * Running on http://0.0.0.0:9000/ (Press CTRL+C to quit)
XRPL_MAIN | xrpl_socket.py | 47 | 2021-02-14 21:27:08,634 | INFO | Connected --> 
XRPL_MAIN | xrpl_socket.py | 37 | 2021-02-14 21:27:08,634 | INFO | Data Resetted
XRPL_MAIN | xrpl_socket.py | 133 | 2021-02-14 21:27:08,693 | INFO | Ping Resolved: {'id': 'Opening Ping', 'result': {}, 'status': 'success', 'type': 'response'}
